"No","Nama Perusahaan","Merek Dagang","Kota","Alamat","Telepon/WA","Email","Website","Jenis","Link HIMPUH","Status Follow-up","Catatan"
"33","PT. Biro Perjalanan Wisata Proconfo","PROIN TRAVEL","Jakarta","Jl. Rs Fatmawati No. 15 Komplek Golden, Cilandak, Jakarta Selatan, DKI Jakarta, 12420","+62217665858","info@proconfo.id, umrah@proconfo.id, febi@proconfo.id","www.proinumrah.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/59","Belum dihubungi",""
"34","PT. Sabilina Tours & Travel","SABILINA TOURS","Bekasi","Komp. Ruko Kranggan Permai Blok RT. 16 No. 9, Jati Sampurna, Bekasi, Jawa Barat, 17433","+622184597473","sabilina@sabilinatours.com","www.sabilinatours.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/65","Belum dihubungi",""
"35","PT. Sakinah Tour & Travel","WAN TOUR","Jakarta","GRAHA ATIKA, Lt.3, Jl. Warung Jati Barat No. 7 Rt.002/005, Pancoran, Jakarta Selatan, DKI Jakarta, 12710","+622122768061","travelsakinah2019@gmail.com, ismail_mashabii@yahoo.com","www.sakinahtourtravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/66","Belum dihubungi",""
"36","PT. Shaka Mulia Wisata","SHAKA TOUR & TRAVEL","Jakarta","Jl. Bintaro Raya No. 21A Tanah Kusir Kebayoran lama, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12240","+622184599960","shaka_travel@yahoo.com, hajiumrah@shakamulia.com","www.shakamulia.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/69","Belum dihubungi",""
"37","PT. Srikandi Nuansa Wisata Indonesia","SENI TOURS & TRAVEL","Jakarta","Apartemen Cervino Village GF Blok.H Jl. KAbdullah Syafei Kav.27, Tebet Barat, Tebet, Jakarta Selatan, DKI Jakarta, 12810","+622132453511","seni_tnt@yahoo.com","-","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/70","Belum dihubungi",""
"38","PT. Suhada Arafah Wisata","SUHADA TOUR","Jakarta","Jl. Pemuda No. 9A, , Pulo Gadung, Jakarta Timur, DKI Jakarta, 13220","+622122861686","eks.anggota.himpuh@gmail.com","www.suhadaarafahwisata.com","Biro Perjalanan Wisata (BPW)","https://himpuh.or.id/daftar-anggota/detail/71","Belum dihubungi",""
"39","PT. Surya Sekawan Nusa","SEKAWAN TOUR","Jakarta","Jl. tebet Barat IX No. 58 rt.006 Rw.004, Tebet, Jakarta Selatan, DKI Jakarta, 12810","+622183700876","suryasekawan@yahoo.com","-","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/72","Belum dihubungi",""
"40","PT. Terminal Wisatawan Kelana Indah","TERMINAL HAJI TOURS","Jakarta","Jl. Raya Bogor Km 22 No. 4 A , Ciracas, Jakarta Timur, DKI Jakarta, 13810","+622187782169","terminalhaji@yahoo.co.id, terminalhaji2018@gmail.com","","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/73","Belum dihubungi",""
"41","PT. Zimah Tour & Travel","ZIMAH TOUR & TRAVEL","Jakarta","Jl. Raya Kebayoran Lama No. 9a,rt.004/001, Kebon Jeruk, Jakarta Barat, DKI Jakarta, 11540","+622122539801","eks.anggota.himpuh@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/78","Belum dihubungi",""
"42","PT. Rayan Sirindo Barakah","RAYAN TOUR","Jakarta","JL.JATINEGARA TIMUR IV NO.9B, Jatinegara, Jakarta Timur, DKI Jakarta, 13310","+62218514141","visa.rayan@yahoo.com, haydar_rayan@yahoo.com","-","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/80","Belum dihubungi",""
"43","PT. Redho Illahi Wisata","Redho Tours","Tangerang","Jl. Pahlawan Raya No. 97, Ciputat Timur, Tangerang Selatan, Banten, 15412","+62217496093","redhoillahiwisata@yahoo.com, redho.kalsel@gmail.com","www. redhowours.CO.ID","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/81","Belum dihubungi",""
"44","PT. Rihlah El Ibad","RIAD TRAVEL","Jakarta","Jl. Condet Raya No.27 , Kramat Jati, Jakarta Timur, DKI Jakarta, 13520","+62218007122","riattravel09@gmail.com, info@riadtravel.co.id","www.riadtravel.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/82","Belum dihubungi",""
"45","PT. Sahara Kafilah Wisata","SAHARA KAFILA TOUR","Jakarta","Jl. Raya Bogor Km. 21 No. 1-2 Rambutan, Ciracas, Ciracas, Jakarta Timur, DKI Jakarta, 13830","+62218403641","saharakafila@yahoo.com, lutfi@saharakafila.com, hendra@saharakafila.com","www.saharakafila.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/84","Belum dihubungi",""
"46","PT. Tawakkal International Tour & Travel","TAWAKKAL","Tangerang","Jl. Pahlawan Seribu Ruko Golden Road, Blok.c32 No. 2 Bsd City, Serpong, Tangerang Selatan, Banten, 15322","+622153157365","tawakkal_hajiumroh@yahoo.com, tawakal.visaa@gmail.com","","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/87","Belum dihubungi",""
"47","PT. Trimitra Rezeki Wisata","Sinergi Braling","Jakarta","Rukan Avenue Blok 8 No. 079, Cakung, Jakarta Timur, DKI Jakarta, 13910","+622129844344","trimitrasub_umrahhaji@yahoo.com","","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/88","Belum dihubungi",""
"48","PT. Aero Globe Indonesia","AEROHAJJ","Jakarta","Jl. Prajurit Kko Usman & Harun No. 32, Senen, Senen, Jakarta Pusat, DKI Jakarta, 10410","+622183780480","aerohajj@aerowisatatravel.com","www.aerohajj.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/91","Belum dihubungi",""
"49","PT. Al Badriyah Wisata","PT. ALBADRIYAH WISATA","Jakarta","Vinilon Building Jl. Raden Saleh No. 13-17 Cikini - Jakarta Pusat, Kenari, Senen, Senen, Jakarta Pusat, DKI Jakarta, 10430","+622129619715","albadarwisata@gmail.com, subaebasni.sarbini@gmail.com","www.albadarwisata.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/93","Belum dihubungi",""
"50","PT. Al Hijrah Mulia Wisata","AL-HIJRAH TOUR & TRAVEL","Jakarta","Gd. Utaka 66, Lantai 1, Ruang 101,  Jl. Utan Kayu Raya No. 66 B, Matraman, Jakarta Timur, DKI Jakarta, 13220","+622185909536","alhijrah.muliawisata@gmail.com","www.alhijrah.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/96","Belum dihubungi",""
"51","PT. Arfina Margi Wisata","AL AZHAR TOUR & TRAVEL","Jakarta","Jl. Ciledug Raya No. 123a, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12230","+622172787647","alazhar_arfina@yahoo.com","www.alazhartourtravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/99","Belum dihubungi",""
"52","PT. As-salam Mulya Al-haromain","PT. AS-SALAM MULYA AL-HAROMAIN","Jakarta","Jl. Ciputat Raya No. 4A Kebayoran lama Jakarta Selatan, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12240","+62217290758","as_salam_mulya@yahoo.co.id","www.gatracktour.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/101","Belum dihubungi",""
"53","PT. Attaqwa Garuda Insani","ATTAQWA TOUR","Jakarta","Wijaya Grand Centre Blok E/5, Jl. Wijaya Ii, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12160","+62217393963","attaqwa_garuda_insani@yahoo.com","www.attaqwaumrohhaji.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/102","Belum dihubungi",""
"54","PT. Avianca Muliatama","AMANAH MULIA UMRAH & HAJJ SERVICE","Jakarta","Jl. Jend. Basuki Rahmat No. 25, Jatinegara, Jakarta Timur, DKI Jakarta, 13410","+622185911888","ticketing.avianca@gmail.com, amanah.mulia@yahoo.com, amanah.mulia2@gmail.com","www.amanahmulia.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/103","Belum dihubungi",""
"55","PT. Awana","Awana Tours & Travel","Jakarta","Jl. Pelita No. 2-g, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12240","+62217238613","awana.tour@yahoo.co.id","www.awanatravel.co.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/104","Belum dihubungi",""
"56","PT. Caraka Wisata Tour","CARAKA WISATA","Jakarta","Jl. Jati Baru Raya No. 56a, Gambir, Jakarta Pusat, DKI Jakarta, 10150","+62213451476","caraka.wisata@yahoo.co.id, caraka.wisata@yahoo.co.id","www.carakawisata.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/106","Belum dihubungi",""
"57","PT. Ceria Patria Wisata","Ceria Tours","Jakarta","Jl. Cempaka Putih Raya No.25, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10520","+622142872822","ceriapatriawisata@yahoo.co.id, ceriapatriawisata@gmail.com","www.ceriatours.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/107","Belum dihubungi",""
"58","PT. Mariam Riadien","MARIAM TRAVEL","Jakarta","Gedung Bangka 33 Lt. 2 Ruang 206, Jl. Kemang Raya No. 124b Bangka Pela Mampang, Mampang Prapatan, Jakarta Selatan, DKI Jakarta, 12720","+622171793347","eks.anggota.himpuh@gmail.com","www.mariamtravel.co.id","Biro Perjalanan Wisata (BPW)","https://himpuh.or.id/daftar-anggota/detail/112","Belum dihubungi",""
"59","PT. Nursa Tours & Travel","NURSA TOURS","Jakarta","Jl. Utan Kayu Raya No. 108, Matraman, Jakarta Timur, DKI Jakarta, 13120","+622185914431","eks.anggota.himpuh@gmail.com","www.nursa.co.id","Biro Perjalanan Wisata (BPW)","https://himpuh.or.id/daftar-anggota/detail/116","Belum dihubungi",""
"60","PT. Oranye Patria Wisata","ORANYE TOUR","Jakarta","Jl. Condet Raya No.12, Rt. 004/005, Kramat Jati, Jakarta Timur, DKI Jakarta, 13640","+622180886645","oranye_pw@yahoo.co.id, oranyepatriawisata@gmail.com","www.oranyetravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/117","Belum dihubungi",""
"61","PT. Pandi Kencana Murni","PAKEM Tours","Jakarta","Rukan Bisnis Park Kirana Cawang Jl. DI. Pandjaitan Kav. 48 Blok A-5 , Jatinegara, Jakarta Timur, DKI Jakarta, 13340","+622129067433","pakem_tours@yahoo.co.id, pakemtours.ops@gmail.com","www.pakemtours.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/118","Belum dihubungi",""
"62","PT. Gatra Citra Kencana","GACIKEN","Jakarta","Jl. Warung Jati Timur No. 26, Pancoran, Jakarta Selatan, DKI Jakarta, 12740","+622179191851","gatra_umrahhaji@yahoo.com, umrahhaji_group@yahoo.com","www.gatracktour.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/119","Belum dihubungi",""
"63","PT. Prima Mulia Wisata","PRIMA MULIA WISATA","Depok","Jl. Meruyung Raya No. 2 Rt.002/010, Pancoran Mas, Depok, Jawa Barat, 16434","+6221778888720","primamulia_wisata@yahoo.com, primamuliawisata02@gmail.com","www.primamuliawisata.blogspot.co.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/122","Belum dihubungi",""
"64","PT. Ibapuisi Tour & Travel","PT. IBAPUISI TOUR & TRAVEL","Bekasi","Jl. Sultan Hasanuddin Ruko Permata Blok A2 No. 44, Tambun Selatan, Bekasi, Jawa Barat, 17510","+622189523333","ibapuisi.tour@gmail.com, ptibapuisi@gmail.com, info@ptibapuisi.com","www.ibapuisi.co.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/123","Belum dihubungi",""
"65","PT. Kartika Utama","HARAMAINKU","Bogor","Cibubur Country RBOD 01 Rt.06/02, Gunung Putri, Bogor, Jawa Barat, 16966","+622129099858","haramainku@gmail.com, haramainku@yahoo.com","www.haramainku.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/125","Belum dihubungi",""
"66","PT. Kharissa Permai Holiday","PT. KHARISSA TOURS & TRAVEL","Jakarta","Jl. Cilosari No.24-b, Menteng, Jakarta Pusat, DKI Jakarta, 10330","+62213153554","eks.anggota.himpuh@gmail.com","www.kharissatours.com","Biro Perjalanan Wisata (BPW)","https://himpuh.or.id/daftar-anggota/detail/126","Belum dihubungi",""
"67","PT. Kubah Wisata Nusantara","KUBAH WISATA NUSANTARA","Jakarta","Komplek Duta Merlin Blok E31, Jl. Gajah Mada, Gambir, Jakarta Pusat, DKI Jakarta, 10130","+62216305144","kubahwisata97@yahoo.com","www.kubahwisata.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/127","Belum dihubungi",""
"68","PT. Madinah Iman Wisata","MADINAH IMAN WISATA","Tangerang","Jl. Merpati Raya, Ruko Harvest No.26., Ciputat, Tangerang Selatan, Banten, 15413","+62217422898","tour.madinah@gmail.com, info@madinahiman.co.id, infopusat1@gmail.com","www.madinahiman.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/129","Belum dihubungi",""
"69","PT. Marco Tour & Travel","MARCO TOUR & TRAVEL","Jakarta","Gedung Marco, Jl. Casablanca 1A Rt.009/010, Tebet, Jakarta Selatan, DKI Jakarta, 13350","+62218576343","umrah.marco@gmail.com, visaumrah.marco@gmail.com","www.marcoumrah.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/130","Belum dihubungi",""
"70","PT. Penata Rihlah","PENA TOUR","Jakarta","Jl. Raya Rusli Hakim No.1c, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12520","+62217949155","penatour14@gmail.com, halo@penatour.co.id","www.penatour.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/132","Belum dihubungi",""
